Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,cleaned_text,sentiment_group,text_length_chars,text_length_words,engagement_total,hashtag_count
57,59, Pure happiness: celebrating a loved one's achievement! , Happiness    ,13/02/2023 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10,pure happiness celebrating a loved ones achievement,neutral,51,7,90.0,2
58,60, Laughter is the best medicine—enjoying a comedy show. , Joy          ,13/02/2023 19:30, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19,laughter is the best medicineenjoying a comedy show,positive,51,8,67.0,2
59,61, Sharing love and positive vibes with everyone! ❤️      , Love         ,14/02/2023 08:30, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8,sharing love and positive vibes with everyone,neutral,45,7,45.0,2
60,62, An amusing incident brightened up my day!               , Amusement    ,14/02/2023 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14,an amusing incident brightened up my day,neutral,40,7,53.0,2
61,63, Enjoying a quiet evening with a book and some tea.      , Enjoyment    ,14/02/2023 19:45, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19,enjoying a quiet evening with a book and some tea,positive,49,10,75.0,2
62,64, Admiring the beauty of nature during a peaceful hike.   , Admiration   ,15/02/2023 11:30, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11,admiring the beauty of nature during a peaceful hike,neutral,52,9,60.0,2
63,65, Sending affectionate vibes to all my followers!          , Affection    ,15/02/2023 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,sending affectionate vibes to all my followers,neutral,46,7,45.0,2
64,66, Experiencing awe at the breathtaking sunset.            , Awe          ,15/02/2023 20:30, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20,experiencing awe at the breathtaking sunset,neutral,43,6,67.0,2
65,67, Disappointed with the service at a local restaurant.    , Disappointed ,16/02/2023 09:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9,disappointed with the service at a local restaurant,neutral,51,8,53.0,2
66,68, A surprise gift from a friend made my day!              , Surprise     ,16/02/2023 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14,a surprise gift from a friend made my day,neutral,41,9,75.0,2
67,69, Finding acceptance in the midst of life's challenges.   , Acceptance   ,16/02/2023 18:20, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18,finding acceptance in the midst of lifes challenges,neutral,51,8,45.0,2
68,70, Overflowing with adoration for my adorable pet! 🐾      , Adoration    ,17/02/2023 10:45, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10,overflowing with adoration for my adorable pet,neutral,46,7,67.0,2
69,71, Anticipating a thrilling adventure in the coming weeks. , Anticipation ,17/02/2023 07:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,anticipating a thrilling adventure in the coming weeks,neutral,54,8,60.0,2
70,72, A bitter experience turned into a valuable lesson.      , Bitter       ,17/02/2023 15:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15,a bitter experience turned into a valuable lesson,neutral,49,8,53.0,2
71,73, Finding calmness in the midst of a busy day.            , Calmness     ,18/02/2023 09:30, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9,finding calmness in the midst of a busy day,neutral,43,9,45.0,2
72,74, Confusion clouds my mind as I navigate through decisions., Confusion    ,18/02/2023 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14,confusion clouds my mind as i navigate through decisions,neutral,56,9,75.0,2
73,75, Excitement building up for the upcoming vacation!       , Excitement   ,18/02/2023 18:45, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18,excitement building up for the upcoming vacation,positive,48,7,67.0,2
74,76, Kindness witnessed today restored my faith in humanity. , Kind         ,19/02/2023 11:30, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11,kindness witnessed today restored my faith in humanity,neutral,54,8,60.0,2
75,77, Pride in achieving a personal milestone.               , Pride        ,19/02/2023 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16,pride in achieving a personal milestone,neutral,39,6,90.0,2
76,78, A moment of shame for not standing up against injustice. , Shame        ,19/02/2023 19:45, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19,a moment of shame for not standing up against injustice,neutral,55,10,45.0,2
77,79, Fuming with anger after a heated argument.            , Anger        ,20/02/2023 09:30, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9,fuming with anger after a heated argument,negative,41,7,60.0,2
78,80, The fear of the unknown is keeping me up at night.    , Fear         ,20/02/2023 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21,the fear of the unknown is keeping me up at night,negative,49,11,45.0,2
79,81, Heartfelt sadness after bidding farewell to a dear friend. , Sadness      ,21/02/2023 14:45, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14,heartfelt sadness after bidding farewell to a dear friend,negative,57,9,75.0,2
80,82, The state of corruption in our society is utterly disgusting. , Disgust      ,21/02/2023 18:20, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18,the state of corruption in our society is utterly disgusting,neutral,60,10,53.0,2
81,83, Overflowing happiness: welcoming a new family member!  , Happiness    ,22/02/2023 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10,overflowing happiness welcoming a new family member,neutral,51,7,90.0,2
82,84, Laughter is the key to joy—attending a stand-up comedy show. , Joy          ,22/02/2023 19:30, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19,laughter is the key to joyattending a standup comedy show,positive,57,10,67.0,2
83,85, Sending love to all my followers on this beautiful day! ❤️ , Love         ,23/02/2023 08:30, LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8,sending love to all my followers on this beautiful day,neutral,54,10,45.0,2
84,86, Amused by the antics of my pet—it's pure amusement!      , Amusement    ,23/02/2023 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14,amused by the antics of my petits pure amusement,neutral,48,9,53.0,2
85,87, Enjoying every moment of this trip—pure enjoyment!      , Enjoyment    ,23/02/2023 19:45, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19,enjoying every moment of this trippure enjoyment,positive,48,7,75.0,2
86,88, Admiring the dedication of volunteers at a local charity. , Admiration   ,24/02/2023 11:30, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11,admiring the dedication of volunteers at a local charity,neutral,56,9,60.0,2
87,89, Sending affectionate vibes to friends and family.        , Affection    ,24/02/2023 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16,sending affectionate vibes to friends and family,neutral,48,7,45.0,2
88,90, Awe-struck by the beauty of the night sky.               , Awe          ,24/02/2023 20:30, Stargazer       , Facebook , #Awe #StarryNight                        ,22.0,45.0, Australia ,2023,2,24,20,awestruck by the beauty of the night sky,neutral,40,8,67.0,2
89,91, Disappointed with the lack of progress in a personal project. , Disappointed ,25/02/2023 09:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18.0,35.0, India      ,2023,2,25,9,disappointed with the lack of progress in a personal project,neutral,60,10,53.0,2
90,92, A surprise visit from an old friend brought tears of joy. , Surprise     ,25/02/2023 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25.0,50.0, USA          ,2023,2,25,14,a surprise visit from an old friend brought tears of joy,neutral,56,11,75.0,2
91,93, Embracing acceptance of life's ups and downs.           , Acceptance   ,25/02/2023 18:20, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15.0,30.0, Canada     ,2023,2,25,18,embracing acceptance of lifes ups and downs,neutral,43,7,45.0,2
92,94, Overflowing adoration for a cute rescue puppy! 🐶       , Adoration    ,26/02/2023 10:45, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22.0,45.0, UK         ,2023,2,26,10,overflowing adoration for a cute rescue puppy,neutral,45,7,67.0,2
93,95, Anticipating the release of a much-awaited movie.       , Anticipation ,26/02/2023 07:30, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20.0,40.0, Australia    ,2023,2,26,7,anticipating the release of a muchawaited movie,neutral,47,7,60.0,2
94,96, Bitter experience at the customer service department.   , Bitter       ,26/02/2023 15:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18.0,35.0, USA       ,2023,2,26,15,bitter experience at the customer service department,neutral,52,7,53.0,2
95,97, Finding calmness amidst the chaos of daily life.        , Calmness     ,27/02/2023 09:30, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15.0,30.0, India     ,2023,2,27,9,finding calmness amidst the chaos of daily life,neutral,47,8,45.0,2
96,98, Confusion reigns as I try to make sense of recent events., Confusion    ,27/02/2023 14:20, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25.0,50.0, UK   ,2023,2,27,14,confusion reigns as i try to make sense of recent events,neutral,56,11,75.0,2
97,99, Excitement building up for a surprise birthday party.   , Excitement   ,27/02/2023 18:45, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22.0,45.0, Canada ,2023,2,27,18,excitement building up for a surprise birthday party,positive,52,8,67.0,2
98,100, Witnessed an act of kindness that made my day.          , Kind         ,28/02/2023 11:30, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20.0,40.0, USA       ,2023,2,28,11,witnessed an act of kindness that made my day,neutral,45,9,60.0,2
99,101, Pride in completing a challenging fitness challenge.    , Pride        ,28/02/2023 16:00, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30.0,60.0, UK            ,2023,2,28,16,pride in completing a challenging fitness challenge,neutral,51,7,90.0,2
100,102, A moment of shame for not speaking up against injustice., Shame        ,28/02/2023 19:45, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15.0,30.0, India     ,2023,2,28,19,a moment of shame for not speaking up against injustice,neutral,55,10,45.0,2
101,103, Reflecting on the beauty of diversity in our world.     , Acceptance   ,01/03/2023 10:45, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22.0,45.0, Australia ,2023,3,1,10,reflecting on the beauty of diversity in our world,neutral,50,9,67.0,2
102,104, Excitement for a quiet evening with a good book.        , Excitement   ,01/03/2023 13:30, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18.0,35.0, USA          ,2023,3,1,13,excitement for a quiet evening with a good book,positive,47,9,53.0,2
103,105, Feeling bitter about the unfairness in the workplace.   , Bitter       ,01/03/2023 17:45, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15.0,30.0, Canada    ,2023,3,1,17,feeling bitter about the unfairness in the workplace,neutral,52,8,45.0,2
104,106, Calmness prevails as I practice mindfulness.            , Calmness     ,02/03/2023 18:00, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15.0,30.0, UK        ,2023,3,2,18,calmness prevails as i practice mindfulness,neutral,43,6,45.0,2
105,107, Confusion surrounds me as I navigate through life's choices. , Confusion ,02/03/2023 13:15, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30.0,60.0, USA   ,2023,3,2,13,confusion surrounds me as i navigate through lifes choices,neutral,58,9,90.0,2
106,108, Excitement for a weekend road trip to explore new places. , Excitement ,02/03/2023 16:45, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25.0,50.0, India     ,2023,3,2,16,excitement for a weekend road trip to explore new places,positive,56,10,75.0,2
107,109, Kindness witnessed today restores my faith in humanity.  , Kind         ,03/03/2023 11:30, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22.0,45.0, USA       ,2023,3,3,11,kindness witnessed today restores my faith in humanity,neutral,54,8,67.0,2
108,110, Pride in accomplishing personal and professional goals.  , Pride        ,03/03/2023 14:30, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12.0,25.0, Canada ,2023,3,3,14,pride in accomplishing personal and professional goals,neutral,54,7,37.0,2
109,111, Shame for not being true to my values in a difficult situation., Shame ,03/03/2023 12:00, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15.0,30.0, UK        ,2023,3,3,12,shame for not being true to my values in a difficult situation,neutral,62,12,45.0,2
110,112," Revisiting old memories, feeling a sense of elation. ", Elation       ,15/05/2010 15:30, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20.0,40.0, Canada    ,2010,5,15,15,revisiting old memories feeling a sense of elation,neutral,50,8,60.0,2
111,113, The victory of our team brought euphoria to the city. , Euphoria      ,10/08/2021 21:15, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15.0,30.0, USA      ,2021,8,10,21,the victory of our team brought euphoria to the city,neutral,52,10,45.0,2
112,114," Embracing the beauty of nature, a moment of contentment. ", Contentment   ,20/06/2011 14:45, NatureLover2    , Facebook , #Contentment #Nature                           ,25.0,50.0, India       ,2011,6,20,14,embracing the beauty of nature a moment of contentment,neutral,54,9,75.0,2
113,115," Meditating by the serene lake, finding inner peace.   ", Serenity      ,12/02/2022 18:20, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18.0,35.0, UK          ,2022,2,12,18,meditating by the serene lake finding inner peace,neutral,49,8,53.0,2
114,116, Overflowing with gratitude for life's blessings.      , Gratitude     ,25/11/2012 10:00, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30.0,60.0, Australia   ,2012,11,25,10,overflowing with gratitude for lifes blessings,neutral,46,6,90.0,2
115,117," Hopeful for a brighter tomorrow, despite challenges.  ", Hope          ,05/04/2013 19:30, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22.0,45.0, USA      ,2013,4,5,19,hopeful for a brighter tomorrow despite challenges,neutral,50,7,67.0,2
116,118, Empowered to make a difference in my community.        , Empowerment   ,14/09/2014 08:30, CommunityLeader , Twitter  , #Empowerment #Community                        ,15.0,30.0, UK       ,2014,9,14,8,empowered to make a difference in my community,neutral,46,8,45.0,2
